no,data,bodypart
0,width,
1,height,
2,faceno,
3,score face,
4,x,eyeL
5,y,eyeL
6,score,eyeL
7,x,eyeL
8,y,eyeL
9,score,eyeL
10,x,eyeL
11,y,eyeL
12,score,eyeL
13,x,eyeL
14,y,eyeL
15,score,eyeL
16,x,eyeL
17,y,eyeL
18,score,eyeL
19,x,eyeL
20,y,eyeL
21,score,eyeL
22,x,eyeL
23,y,eyeL
24,score,eyeL
25,x,eyeR
26,y,eyeR
27,score,eyeR
28,x,eyeR
29,y,eyeR
30,score,eyeR
31,x,eyeR
32,y,eyeR
33,score,eyeR
34,x,eyeR
35,y,eyeR
36,score,eyeR
37,x,eyeR
38,y,eyeR
39,score,eyeR
40,x,eyeR
41,y,eyeR
42,score,eyeR
43,x,eyeR
44,y,eyeR
45,score,eyeR
46,x,eyebrowL
47,y,eyebrowL
48,score,eyebrowL
49,x,eyebrowL
50,y,eyebrowL
51,score,eyebrowL
52,x,eyebrowL
53,y,eyebrowL
54,score,eyebrowL
55,x,eyebrowL
56,y,eyebrowL
57,score,eyebrowL
58,x,eyebrowL
59,y,eyebrowL
60,score,eyebrowL
61,x,eyebrowL
62,y,eyebrowL
63,score,eyebrowL
64,x,eyebrowR
65,y,eyebrowR
66,score,eyebrowR
67,x,eyebrowR
68,y,eyebrowR
69,score,eyebrowR
70,x,eyebrowR
71,y,eyebrowR
72,score,eyebrowR
73,x,eyebrowR
74,y,eyebrowR
75,score,eyebrowR
76,x,eyebrowR
77,y,eyebrowR
78,score,eyebrowR
79,x,eyebrowR
80,y,eyebrowR
81,score,eyebrowR
82,x,mouth
83,y,mouth
84,score,mouth
85,x,mouth
86,y,mouth
87,score,mouth
88,x,mouth
89,y,mouth
90,score,mouth
91,x,mouth
92,y,mouth
93,score,mouth
94,x,mouth
95,y,mouth
96,score,mouth
97,x,mouth
98,y,mouth
99,score,mouth
100,x,mouth
101,y,mouth
102,score,mouth
103,x,mouth
104,y,mouth
105,score,mouth
106,x,mouth
107,y,mouth
108,score,mouth
109,x,mouth
110,y,mouth
111,score,mouth
112,x,mouth
113,y,mouth
114,score,mouth
115,x,mouth
116,y,mouth
117,score,mouth
118,x,mouth
119,y,mouth
120,score,mouth
121,x,mouth
122,y,mouth
123,score,mouth
124,x,mouth
125,y,mouth
126,score,mouth
127,x,mouth
128,y,mouth
129,score,mouth
130,x,mouth
131,y,mouth
132,score,mouth
133,x,mouth
134,y,mouth
135,score,mouth
136,x,mouth
137,y,mouth
138,score,mouth
139,x,mouth
140,y,mouth
141,score,mouth
142,x,nose
143,y,nose
144,score,nose
145,x,nose
146,y,nose
147,score,nose
148,x,nose
149,y,nose
150,score,nose
151,x,nose
152,y,nose
153,score,nose
154,x,nose
155,y,nose
156,score,nose
157,x,nose
158,y,nose
159,score,nose
160,x,nose
161,y,nose
162,score,nose
163,x,nose
164,y,nose
165,score,nose
166,x,nose
167,y,nose
168,score,nose
169,x,nose
170,y,nose
171,score,nose
172,x,nose
173,y,nose
174,score,nose
175,x,nose
176,y,nose
177,score,nose
178,x,nose
179,y,nose
180,score,nose
181,x,face outline
182,y,face outline
183,score,face outline
184,x,face outline
185,y,face outline
186,score,face outline
187,x,face outline
188,y,face outline
189,score,face outline
190,x,face outline
191,y,face outline
192,score,face outline
193,x,face outline
194,y,face outline
195,score,face outline
196,x,face outline
197,y,face outline
198,score,face outline
199,x,face outline
200,y,face outline
201,score,face outline
202,x,face outline
203,y,face outline
204,score,face outline
205,x,face outline
206,y,face outline
207,score,face outline
208,x,face outline
209,y,face outline
210,score,face outline
211,x,face outline
212,y,face outline
213,score,face outline
214,x,face outline
215,y,face outline
216,score,face outline
217,x,face outline
218,y,face outline
219,score,face outline
220,x,face outline
221,y,face outline
222,score,face outline
223,x,face outline
224,y,face outline
225,score,face outline
226,x,face outline
227,y,face outline
228,score,face outline
229,x,face outline
230,y,face outline
231,score,face outline
232,score face,
233,x,eyeL
234,y,eyeL
235,score,eyeL
236,x,eyeL
237,y,eyeL
238,score,eyeL
239,x,eyeL
240,y,eyeL
241,score,eyeL
242,x,eyeL
243,y,eyeL
244,score,eyeL
245,x,eyeL
246,y,eyeL
247,score,eyeL
248,x,eyeL
249,y,eyeL
250,score,eyeL
251,x,eyeL
252,y,eyeL
253,score,eyeL
254,x,eyeR
255,y,eyeR
256,score,eyeR
257,x,eyeR
258,y,eyeR
259,score,eyeR
260,x,eyeR
261,y,eyeR
262,score,eyeR
263,x,eyeR
264,y,eyeR
265,score,eyeR
266,x,eyeR
267,y,eyeR
268,score,eyeR
269,x,eyeR
270,y,eyeR
271,score,eyeR
272,x,eyeR
273,y,eyeR
274,score,eyeR
275,x,eyebrowL
276,y,eyebrowL
277,score,eyebrowL
278,x,eyebrowL
279,y,eyebrowL
280,score,eyebrowL
281,x,eyebrowL
282,y,eyebrowL
283,score,eyebrowL
284,x,eyebrowL
285,y,eyebrowL
286,score,eyebrowL
287,x,eyebrowL
288,y,eyebrowL
289,score,eyebrowL
290,x,eyebrowL
291,y,eyebrowL
292,score,eyebrowL
293,x,eyebrowR
294,y,eyebrowR
295,score,eyebrowR
296,x,eyebrowR
297,y,eyebrowR
298,score,eyebrowR
299,x,eyebrowR
300,y,eyebrowR
301,score,eyebrowR
302,x,eyebrowR
303,y,eyebrowR
304,score,eyebrowR
305,x,eyebrowR
306,y,eyebrowR
307,score,eyebrowR
308,x,eyebrowR
309,y,eyebrowR
310,score,eyebrowR
311,x,mouth
312,y,mouth
313,score,mouth
314,x,mouth
315,y,mouth
316,score,mouth
317,x,mouth
318,y,mouth
319,score,mouth
320,x,mouth
321,y,mouth
322,score,mouth
323,x,mouth
324,y,mouth
325,score,mouth
326,x,mouth
327,y,mouth
328,score,mouth
329,x,mouth
330,y,mouth
331,score,mouth
332,x,mouth
333,y,mouth
334,score,mouth
335,x,mouth
336,y,mouth
337,score,mouth
338,x,mouth
339,y,mouth
340,score,mouth
341,x,mouth
342,y,mouth
343,score,mouth
344,x,mouth
345,y,mouth
346,score,mouth
347,x,mouth
348,y,mouth
349,score,mouth
350,x,mouth
351,y,mouth
352,score,mouth
353,x,mouth
354,y,mouth
355,score,mouth
356,x,mouth
357,y,mouth
358,score,mouth
359,x,mouth
360,y,mouth
361,score,mouth
362,x,mouth
363,y,mouth
364,score,mouth
365,x,mouth
366,y,mouth
367,score,mouth
368,x,mouth
369,y,mouth
370,score,mouth
371,x,nose
372,y,nose
373,score,nose
374,x,nose
375,y,nose
376,score,nose
377,x,nose
378,y,nose
379,score,nose
380,x,nose
381,y,nose
382,score,nose
383,x,nose
384,y,nose
385,score,nose
386,x,nose
387,y,nose
388,score,nose
389,x,nose
390,y,nose
391,score,nose
392,x,nose
393,y,nose
394,score,nose
395,x,nose
396,y,nose
397,score,nose
398,x,nose
399,y,nose
400,score,nose
401,x,nose
402,y,nose
403,score,nose
404,x,nose
405,y,nose
406,score,nose
407,x,nose
408,y,nose
409,score,nose
410,x,face outline
411,y,face outline
412,score,face outline
413,x,face outline
414,y,face outline
415,score,face outline
416,x,face outline
417,y,face outline
418,score,face outline
419,x,face outline
420,y,face outline
421,score,face outline
422,x,face outline
423,y,face outline
424,score,face outline
425,x,face outline
426,y,face outline
427,score,face outline
428,x,face outline
429,y,face outline
430,score,face outline
431,x,face outline
432,y,face outline
433,score,face outline
434,x,face outline
435,y,face outline
436,score,face outline
437,x,face outline
438,y,face outline
439,score,face outline
440,x,face outline
441,y,face outline
442,score,face outline
443,x,face outline
444,y,face outline
445,score,face outline
446,x,face outline
447,y,face outline
448,score,face outline
449,x,face outline
450,y,face outline
451,score,face outline
452,x,face outline
453,y,face outline
454,score,face outline
455,x,face outline
456,y,face outline
457,score,face outline
458,x,face outline
459,y,face outline
460,score,face outline
